FID,the_geom,id,name,place,source,is_in,highway,addr_stree,waterway
dominica_points.190,POINT (-61.3782131 15.2987992),1566779727,Morne Bruce,locality,,"Roseau, Dominica",,,
dominica_points.191,POINT (-61.3862866 15.2975829),1588194807,,,,,bus_stop,,
dominica_points.192,POINT (-61.3848623 15.3002139),1588194813,,,,,,,
dominica_points.193,POINT (-61.3894555 15.3008777),1588194824,,,,,bus_stop,,
dominica_points.194,POINT (-61.3898517 15.3062551),1588194836,,,,,bus_stop,,
dominica_points.195,POINT (-61.3865602 15.2962997),1588194846,War Memorial,,,,,,
dominica_points.196,POINT (-61.388469 15.2970523),1588194847,,,KG Ground Survey 2016,,,,
dominica_points.197,POINT (-61.3863846 15.2993792),1588194849,Roseau Central Credit Union,,,,,Independence Street,
dominica_points.198,POINT (-61.386221 15.2992481),1588210511,Vena's Guest House,,,,,,
dominica_points.199,POINT (-61.3886477 15.3085913),1588210512,,,KG Ground Survey 2015,,,,
dominica_points.200,POINT (-61.3895656 15.299362),1588210517,Kentucky Fried Chicken,,,,,,
dominica_points.201,POINT (-61.3863868 15.2997065),1588210518,Perky's Pizza,,,,,,
dominica_points.202,POINT (-61.3688324 15.3466263),1591355578,Springfield Guest House,,,,,,
dominica_points.203,POINT (-61.3912685 15.339202),1591355746,,,,,,,
dominica_points.204,POINT (-61.3916515 15.3452164),1591355965,Check Hall,village,,"Massacre, Dominica",,,
dominica_points.205,POINT (-61.3838516 15.300681),1591383623,,,,,bus_stop,,
dominica_points.206,POINT (-61.3929711 15.329986),1591383722,Brizee's Mart,,,,,,
dominica_points.207,POINT (-61.3576015 15.3170661),1597316627,Fond Cani,village,,Dominica,,,
dominica_points.208,POINT (-61.3954212 15.5994258),1597317046,,,,,,,
dominica_points.209,POINT (-61.344698 15.3895362),1640111082,Pont Casse,locality,,Dominica,,,
dominica_points.210,POINT (-61.4767421 15.5862071),1640111181,West Cabrit,,,Dominica,,,
dominica_points.211,POINT (-61.3320177 15.3325631),1675559653,Roxy's Mountain Lodge,,,,,,
dominica_points.212,POINT (-61.320418 15.3522717),1675575484,Boeri Lake,,,,,,
dominica_points.213,POINT (-61.3332945 15.3272567),1675599229,Trafalgar Falls,,,,,,waterfall
dominica_points.214,POINT (-61.3042392 15.3157474),1675600410,Morne Nicholls,,,,,,
dominica_points.215,POINT (-61.269673 15.2850546),1675605113,,,,,,,
dominica_points.216,POINT (-61.2583122 15.502812),1675609542,,,,,,,
dominica_points.217,POINT (-61.3121634 15.3971745),1701650460,,,,,,,
dominica_points.218,POINT (-61.3743656 15.4076941),1701650475,,,,,,,
dominica_points.219,POINT (-61.3852476 15.3059385),1830364628,,,,,,,
dominica_points.220,POINT (-61.386503 15.2975829),1830365655,,,,,,,
dominica_points.221,POINT (-61.3909284 15.330373),1830365667,Auto Trade,,,,,,
dominica_points.222,POINT (-61.3915186 15.3397406),1830365999,,,,,,,
dominica_points.223,POINT (-61.3857464 15.3032557),1830366227,,,,,,,
dominica_points.224,POINT (-61.3942946 15.3323591),1831607472,,,,,,,
