FID,the_geom,LAYER,TOWNS,NAME,CLASS,POPULATION
d_towns_points.51,POINT (-61.3608598629158 15.367529108345911),Unknown Point Feature,Corona,Corona,Suburban,107
d_towns_points.52,POINT (-61.372845855246254 15.375765108681964),Unknown Point Feature,Campbell,Campbell,Rural,105
d_towns_points.53,POINT (-61.38539724768613 15.373730954617029),Unknown Point Feature,Bon_Repos,Bon_Repos,Rural,106
d_towns_points.54,POINT (-61.403770846682626 15.370128241313862),Unknown Point Feature,Jimmit,Jimmit,Rural,56
d_towns_points.55,POINT (-61.41474242923267 15.388596375691916),Unknown Point Feature,Tarou,Tarou,Suburban,22
d_towns_points.56,POINT (-61.39396977739636 15.391978974833407),Unknown Point Feature,Warner,Warner,Rural,103
d_towns_points.57,POINT (-61.39150352483358 15.397022440286934),Unknown Point Feature,Mount_Joy,Mount_Joy,Rural,102
d_towns_points.58,POINT (-61.42487237364821 15.39690826968928),Unknown Point Feature,Layou,Layou,Rural,21
d_towns_points.59,POINT (-61.42399099910204 15.406277480142588),Unknown Point Feature,St.__Joseph,St.__Joseph,Rural,31
d_towns_points.60,POINT (-61.42763154584758 15.420735533311875),Unknown Point Feature,Mero,Mero,Rural,33
d_towns_points.61,POINT (-61.4365050254644 15.440499453099397),Unknown Point Feature,Salisbury,Salisbury,Rural,34
d_towns_points.62,POINT (-61.447250717467995 15.4559078195731),Unknown Point Feature,Morne_Rachette,Morne_Rachette,Rural,60
d_towns_points.63,POINT (-61.45083461709166 15.460966615557757),Unknown Point Feature,Coulibistrie,Coulibistrie,Suburban,20
d_towns_points.64,POINT (-61.46181995967937 15.48574525535073),Unknown Point Feature,Colihaut,Colihaut,Suburban,19
