finish_id,title,finish_date,calendar_finish_ref,local_file_path,local_file_match_score,local_file_match_hint,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,external_word_count_notes,metadata_page_count,metadata_word_estimate,metadata_source,chosen_word_count,word_count_source,word_count_confidence,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local
finish_0072,Tremendous Trifles,2024-03-01,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Tremendous Trifles/Tremendous Trifles.epub,100.0,Tremendous Trifles,59778.0,60112.0,334.0,epub_spine_body_sections,,,,,142.0,39050.0,golden_master_multi_source.csv,59778.0,local_file_word_count,high,,,
finish_0073,Jude the Obscure,2024-03-08,,,0.0,,,,,,,,,,240.0,66000.0,golden_master_multi_source.csv,66000.0,metadata_pages_x_words_per_page,medium,,,
finish_0074,A Connecticut Yankee in King Arthur’s Court,2024-03-12,,,0.0,,,,,,,,,,397.0,109175.0,golden_master_multi_source.csv,109175.0,metadata_pages_x_words_per_page,medium,,,
finish_0075,The Checklist Manifesto,2024-03-19,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The Checklist Manifesto/The Checklist Manifesto.epub,100.0,The Checklist Manifesto,56909.0,58116.0,1207.0,epub_spine_body_sections,,60000.0,https://www.readinglength.com/work/WmSu2Qp,ReadingLength online-search estimate; rough guess.,209.0,57475.0,golden_master_multi_source.csv,56909.0,local_file_word_count,high,3091.0,0.05431478325045248,0.05431478325045248
finish_0076,the persuit of the well beloved,2024-03-27,,/Users/clarkbenham/side_projects/data/Books/The Pursuit of the Well-Beloved by Thomas Hardy.pdf,100.0,The Pursuit of the Well-Beloved by Thomas Hardy.pdf,63910.0,64894.0,984.0,pdf_repeated_header_footer_body_pages,,,,,,,,63910.0,local_file_word_count,high,,,
finish_0077,knudson,2024-04-10,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0078,Marooned in Real Time,2024-05-03,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0079,the world of null a,2024-05-05,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/the world of null a by a-e-van vogt/the world of null a by a-e-van vogt.pdf,100.0,the world of null a by a-e-van vogt.pdf,67619.0,67619.0,0.0,pdf_repeated_header_footer_body_pages,,,,,221.0,60775.0,golden_master_multi_source.csv,67619.0,local_file_word_count,high,,,
finish_0080,16 ways to defend a walled city,2024-05-12,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Sixteen Ways to Defend a Walled City/Sixteen Ways to Defend a Walled City.epub,100.0,Sixteen Ways to Defend a Walled City.html,111240.0,111680.0,440.0,epub_spine_body_sections,,,,,384.0,105600.0,golden_master_multi_source.csv,111240.0,local_file_word_count,high,,,
finish_0081,Methuselah's Children,2024-05-15,,"/Users/clarkbenham/side_projects/data/Books/Methuselah's Children - Heinlein, Robert Anson.epub",90.0,Methuselah's Children,67250.0,67250.0,0.0,epub_spine_body_sections,,,,,,,,67250.0,local_file_word_count,high,,,
finish_0082,move: the dark knight,2024-05-17,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0083,consider phlebas,2024-06-04,,"/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Consider Phlebas- Iain M. Banks -(Culture 1, 2008)/Consider Phlebas- Iain M. Banks -(Culture 1, 20.pdf",90.0,consider phlebas,172882.0,172982.0,100.0,pdf_repeated_header_footer_body_pages,,,,,471.0,129525.0,golden_master_multi_source.csv,172882.0,local_file_word_count,high,,,
finish_0084,50 essays by george orwell,2024-06-19,,/Users/clarkbenham/side_projects/data/Books/ 50 Essays by George Orwell.lit,100.0,50 essays by george orwell,232021.0,232021.0,0.0,lit_raw_text,no_section_level_body_filter_available,,,,346.0,95150.0,golden_master_multi_source.csv,232021.0,local_file_word_count,high,,,
finish_0085,Jeeves Stories,2024-06-30,,,0.0,,,,,,,,,,263.0,72325.0,golden_master_multi_source.csv,72325.0,metadata_pages_x_words_per_page,medium,,,
finish_0086,Just for Fun : The Story of an Accidental Revolutionary,2024-07-14,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Just for Fun _ The Story of an Accidental Revoluti/Just for Fun _ The Story of an Accidental Revoluti.epub,100.0,Just for Fun _ The Story of an Accidental Revoluti.html,81107.0,81355.0,248.0,epub_spine_body_sections,,,,,275.0,75625.0,golden_master_multi_source.csv,81107.0,local_file_word_count,high,,,
finish_0087,Stalky & Co,2024-07-30,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0088,what is man and other essays,2024-08-07,,"/Users/clarkbenham/side_projects/data/Books/What is Man_ and Other Essays, by Mark Twain.pdf",100.0,"What is Man_ and Other Essays, by Mark Twain.pdf",101021.0,107422.0,6401.0,pdf_repeated_header_footer_body_pages,,,,,375.0,103125.0,golden_master_multi_source.csv,101021.0,local_file_word_count,high,,,
finish_0089,essay: tausf,2024-08-18,,,0.0,,,,,,,,,,,,,,,low,,,
