event_type,book_ref,events,first_date,last_date,wall_clock_minutes,calendar_analysis_minutes,classification,best_candidate_score,best_candidate_finish_date,best_candidate_title,best_candidate_ref,days_from_last_event_to_candidate_finish
reading,nvc,1,2025-01-09,2025-01-09,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,nfda,1,2024-04-08,2024-04-08,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,nea,1,2024-03-30,2024-03-30,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,mwc,1,2023-10-24,2023-10-24,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,misc resources,1,2024-03-14,2024-03-14,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,pra,1,2023-05-15,2023-05-15,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,mfp,1,2022-12-08,2022-12-08,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,metamorphoses,1,2023-01-06,2023-01-06,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,mastery,1,2024-08-05,2024-08-05,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,lives,1,2022-05-26,2022-05-26,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,hyperparms,1,2025-07-15,2025-07-15,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,holllm,1,2025-06-04,2025-06-04,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,hmpor,1,2023-10-21,2023-10-21,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,history,1,2026-02-03,2026-02-03,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,aie,1,2025-11-12,2025-11-12,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,for bed,1,2025-09-26,2025-09-26,15.0,7.5,no_finished_book_candidate_found,,,,,
reading,eyeglasses,1,2024-09-05,2024-09-05,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,showstopper,1,2025-02-18,2025-02-18,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,ewsdsr,1,2026-03-24,2026-03-24,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,eup,1,2024-03-30,2024-03-30,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,slack,1,2025-04-16,2025-04-16,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,dsips,1,2025-05-05,2025-05-05,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,st,1,2025-09-30,2025-09-30,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,dmm,1,2023-03-24,2023-03-24,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,cs,1,2026-02-03,2026-02-03,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,carneige,1,2025-09-12,2025-09-12,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,tdotj,1,2025-09-22,2025-09-22,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,bfq,1,2026-01-28,2026-01-28,15.0,15.0,no_finished_book_candidate_found,,,,,
started,the bonds that make us free,1,2025-12-01,2025-12-01,15.0,15.0,no_finished_book_candidate_found,,,,,
