title,avg_enjoyment,goodreads_rating,category,read_year,link
"Matter (Culture, #8)",3,4.09,General Reading,2020,https://www.goodreads.com/review/show/370563699?utm_medium=api&utm_source=rss
Modern Japanese Diaries: The Japanese at Home and Abroad As Revealed through Their Diaries,3,3.85,General Reading,2006,https://www.goodreads.com/review/show/370218176?utm_medium=api&utm_source=rss
Chronicle of a Death Foretold,4,3.98,General Reading,2014,https://www.goodreads.com/review/show/369891060?utm_medium=api&utm_source=rss
Hanging Out with the Dream King,3,3.91,General Reading,2018,https://www.goodreads.com/review/show/371005023?utm_medium=api&utm_source=rss
Cool Tools: A Catalog of Possibilities,4,4.39,General Reading,2014,https://www.goodreads.com/review/show/1203915986?utm_medium=api&utm_source=rss
"The Theory That Would Not Die: How Bayes' Rule Cracked the Enigma Code, Hunted Down Russian Submarines, and Emerged Triumphant from Two Centuries of Controversy",4,3.69,General Reading,2020,https://www.goodreads.com/review/show/645281878?utm_medium=api&utm_source=rss
The Riddle of the Labyrinth: The Quest to Crack an Ancient Code,3,3.98,General Reading,2016,https://www.goodreads.com/review/show/1792478509?utm_medium=api&utm_source=rss
The Simple Men,2,3.33,General Reading,2014,https://www.goodreads.com/review/show/1057773628?utm_medium=api&utm_source=rss
Chased by the Light: A 90-Day Journey,4,4.57,General Reading,2007,https://www.goodreads.com/review/show/818485298?utm_medium=api&utm_source=rss
The City of Falling Angels,3,3.54,General Reading,2014,https://www.goodreads.com/review/show/814341590?utm_medium=api&utm_source=rss
Pact,4,3.91,General Reading,2015,https://www.goodreads.com/review/show/1027840363?utm_medium=api&utm_source=rss
"Echopraxia (Firefall, #2)",4,3.8,General Reading,2014,https://www.goodreads.com/review/show/1027604581?utm_medium=api&utm_source=rss
"A Troublesome Inheritance: Genes, Race and Human History",3,3.66,General Reading,2014,https://www.goodreads.com/review/show/1061022300?utm_medium=api&utm_source=rss
A History of Life-Extensionism in the Twentieth Century,4,3.86,General Reading,2015,https://www.goodreads.com/review/show/1368572411?utm_medium=api&utm_source=rss
The Collapse of Complex Societies,5,4.12,General Reading,2020,https://www.goodreads.com/review/show/369908584?utm_medium=api&utm_source=rss
The Remains of the Day,5,4.15,General Reading,2012,https://www.goodreads.com/review/show/369947032?utm_medium=api&utm_source=rss
Average Is Over: Powering America Beyond the Age of the Great Stagnation,3,3.57,General Reading,2016,https://www.goodreads.com/review/show/1711242689?utm_medium=api&utm_source=rss
Intellectuals and Society,2,4.27,General Reading,2020,https://www.goodreads.com/review/show/417975794?utm_medium=api&utm_source=rss
"Debt: The First 5,000 Years",4,4.21,General Reading,2011,https://www.goodreads.com/review/show/369884510?utm_medium=api&utm_source=rss
