title,avg_enjoyment,goodreads_rating,amazon_rating,category
The Complete Guide to Asperger's Syndrome,3,4.23,,General Reading
How to Read Donald Duck: Imperialist Ideology in the Disney Comic,3,3.89,,General Reading
"The Geeks Shall Inherit the Earth: Popularity, Quirk Theory and Why Outsiders Thrive After High School",2,3.59,,General Reading
The Difference Engine,3,3.49,,General Reading
Procyon's Promise,2,3.85,,General Reading
"A Transatlantic Tunnel, Hurrah!",3,3.51,,General Reading
"Surface Detail (Culture, #9)",3,4.25,,General Reading
"The Children of the Sky (Zones of Thought, #3)",3,3.64,,General Reading
Everything Bad is Good for You: How Today's Popular Culture is Actually Making Us Smarter,3,3.47,,General Reading
Promises I Can Keep: Why Poor Women Put Motherhood Before Marriage,4,3.99,,General Reading
"Snuff (Discworld, #39; City Watch, #8)",4,4.16,,General Reading
Little Boy: The Arts of Japan's Exploding Subculture,4,4.3,,General Reading
The Closing of the American Mind,3,3.74,,General Reading
When London Was Capital of America,2,3.66,,General Reading
After the Software Wars,2,3.28,,General Reading
"The Luck Factor: Changing Your Luck, Changing Your Life - The Four  Essential Principles",3,3.85,,General Reading
Ragnarok,3,3.49,,General Reading
Proofs and Refutations: The Logic of Mathematical Discovery,4,4.29,,General Reading
Where China Meets India: Burma and the New Crossroads of Asia,2,3.85,,General Reading
"Making Money (Discworld, #36; Moist Von Lipwig, #2)",3,4.26,,General Reading
The Night Land,3,3.48,,General Reading
The Scarlet Pimpernel,2,4.07,,General Reading
The Green Brain,1,3.34,,General Reading
"The Intelligent Universe: AI, ET, and the Emerging Mind of the Cosmos",2,3.96,,General Reading
